ID,LABEL,Type,SubClass Of [NAMED],definition,has_obo_namespace,database_cross_reference,creation_date,created_by
obo:ID_GEO0000156,Hungary,Class,Eastern Europe,A country within Europe.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000157,Bulgaria,Class,Eastern Europe,A country within Europe.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000158,Albania,Class,Southern Europe,A country within Europe.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000159,Poland,Class,Eastern Europe,A country within Europe.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000160,Romania,Class,Eastern Europe,A country within Europe.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000161,Kosovo,Class,Southern Europe,A Republic within Europe.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000162,Russia,Class,Eastern Europe,A country within ,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000163,Portugal,Class,Southern Europe,A country within Europe.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000164,Gibraltar,Class,Southern Europe,.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000165,Spain,Class,Southern Europe,A Kingdom within Europe.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000166,Malta,Class,Southern Europe,A country within Europe.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000167,Faroe Islands,Class,Northern Europe,.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000168,Denmark,Class,Northern Europe,A Kingdom within Europe.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000169,Iceland,Class,Northern Europe,A country within Europe.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000170,United Kingdom,Class,Northern Europe,A Kingdom within Europe.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000171,Switzerland,Class,Western Europe,A country within Europe.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000172,Sweden,Class,Northern Europe,A Kingdom within Europe.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000173,Netherlands,Class,Western Europe,A Kingdom within Europe.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000174,Austria,Class,Western Europe,A country within Europe.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000175,Belgium,Class,Western Europe,A Kingdom within Europe.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000176,Germany,Class,Western Europe,A country within Europe.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000177,Luxembourg,Class,Western Europe,A country within Europe.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000178,Ireland,Class,Northern Europe,A country within Europe.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000179,Monaco,Class,Western Europe,A country within Europe.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000180,France,Class,Western Europe,A country within Europe.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000181,Andorra,Class,Southern Europe,A Principality within Europe.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000182,Liechtenstein,Class,Western Europe,A country within Europe.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000183,Jersey,Class,Northern Europe,.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000184,Isle of Man,Class,Northern Europe,.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000185,Guernsey,Class,Northern Europe,.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000186,Slovakia,Class,Eastern Europe,A country within Europe.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000187,Czech Republic,Class,Eastern Europe,A country within Europe.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000188,Norway,Class,Northern Europe,A Kingdom within Europe.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000189,Vatican City,Class,Southern Europe,A State within Europe.,GeoNames,,2017-02-17T00:00:00Z,lawson
